ID;ARTICLE;NAME;BRAND;MODEL;QUANTITY;PRICE;Ширина;Диаметр;KOL_VO_KREPEZHNYKH_OTVERSTIY;PCD;PCD2;ET;DIA;LZ2;WHEEL_TYPE;COLOR;SHOP_LENGTH;SHOP_WIDTH;SHOP_HEIGHT;SHOP_WEIGHT;CATEGORY;Код поставщика;Год производства;Товар SALE;Срок доставки;Расшифровка цвета;Артикул поставщика;Изображение ММ 1;Изображение ММ 1_SHA1;PRODUCT_IMAGE;PRODUCT_IMAGE_SHA1;WAREHOUSE_ID;WAREHOUSE_NAME
w446360;WHS112558;iFree Moskva 6.5x16 5*108 ET50 DIA63.3 Хай Вэй Литой;iFree;Moskva;4;7434.00;6.5;16;5;108;;50;63.3;;Литой;Хай Вэй;410;410;170;10000;легковые;WHS112558;;;0;Серый;WHS112558;https://lk.selectyre.ru/media/wheels/big/ifree/moskva_32749.png;dad3aba206bfcb6904169ade2094dba37403bdc2;https://lk.selectyre.ru/media/wheels/big/ifree/moskva_32749.png;dad3aba206bfcb6904169ade2094dba37403bdc2;fortochki_novosibirsk;Новосибирск
w446364;WHS116165;iFree Дайс 6x15 4*100 ET50 DIA60.1 Хай Вэй Литой;iFree;Дайс;4;6880.00;6;15;4;100;;50;60.1;;Литой;Хай Вэй;390;390;150;8000;легковые;WHS116165;;;0;Серый;WHS116165;https://lk.selectyre.ru/media/wheels/big/ifree/days_47002.png;aa31ad0adfa835366bfbe9af7d6ee497367ea561;https://lk.selectyre.ru/media/wheels/big/ifree/days_47002.png;aa31ad0adfa835366bfbe9af7d6ee497367ea561;fortochki_novosibirsk;Новосибирск
w446984;WHS250526;Tech Line 433 5.5x14 4*98 ET38 DIA58.6 BD Литой;Tech Line;433;40;6057.00;5.5;14;4;98;;38;58.6;;Литой;BD;360;360;140;6500;легковые;WHS250526;;;0;Черный и комбинации;WHS250526;https://lk.selectyre.ru/media/wheels/big/tech-line/433_86501.jpeg;ef623b40f81d9599fe384501f9a65704a368b179;https://lk.selectyre.ru/media/wheels/big/tech-line/433_86501.jpeg;ef623b40f81d9599fe384501f9a65704a368b179;fortochki_novosibirsk;Новосибирск
w447078;67972;K&K КС741 6.5x16 5*112 ET50 DIA57.1 Алмаз черный Литой;K&K;КС741;4;9289.00;6.5;16;5;112;;50;57.1;;Литой;Алмаз черный;410;410;170;10000;легковые;7083801;;;0;Черный и комбинации;7083801;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;https://lk.selectyre.ru/media/wheels/big/kk/ks741_64704.jpg;4475ec289aeb4d0cc976291fa4a76eed03a596cd;brineks_novosibirsk-2;Новосибирск 2
w447088;WHS148349;K&K КС673 7x17 5*112 ET54 DIA57.1 Сильвер Литой;K&K;КС673;4;10221.00;7;17;5;112;;54;57.1;;Литой;Сильвер;440;440;180;11000;легковые;WHS148349;;;0;Серебристый;WHS148349;https://lk.selectyre.ru/media/wheels/big/kk/ks673_18909.png;e31798632f20b0165b5ef36c8278ebbbf2c4ef25;https://lk.selectyre.ru/media/wheels/big/kk/ks673_18909.png;e31798632f20b0165b5ef36c8278ebbbf2c4ef25;fortochki_novosibirsk;Новосибирск
w447112;WHS147926;K&K КС699 7x17 5*112 ET54 DIA57.1 Сильвер Литой;K&K;КС699;4;10221.00;7;17;5;112;;54;57.1;;Литой;Сильвер;440;440;180;11000;легковые;WHS147926;;;0;Серебристый;WHS147926;https://lk.selectyre.ru/media/wheels/big/kk/ks699_42907.png;b1fac39e0e2ea0dd2b7beddcb518179a571eeda2;https://lk.selectyre.ru/media/wheels/big/kk/ks699_42907.png;b1fac39e0e2ea0dd2b7beddcb518179a571eeda2;fortochki_novosibirsk;Новосибирск
w447216;15007 AM;Magnetto 15007 6x15 5*100 ET38 DIA57.1 Black Штампованный;Magnetto;15007;9;2780.00;6;15;5;100;;38;57.1;;Штампованный;Black;390;390;150;9100;легковые;7044809;;;0;Черный и комбинации;7044809;https://lk.selectyre.ru/media/wheels/big/magnetto/15007_46126.jpeg;6366e5e69e81fa9d7f189596f1e0fb633516e352;https://lk.selectyre.ru/media/wheels/big/magnetto/15007_46126.jpeg;6366e5e69e81fa9d7f189596f1e0fb633516e352;brineks_novosibirsk;Новосибирск
w447218;9284725;Trebl X40031 6.5x16 4*108 ET37.5 DIA63.3 Black Штампованный;Trebl;X40031;10;3771.00;6.5;16;4;108;;37.5;63.3;;Штампованный;Black;410;410;170;9700;легковые;КА-00008130;;;0;Черный и комбинации;КА-00008130;https://lk.selectyre.ru/media/wheels/big/trebl/x40031_10398.jpg;cfe80a2eb984c997d4b63ee70032d2863930caa4;https://lk.selectyre.ru/media/wheels/big/trebl/x40031_10398.jpg;cfe80a2eb984c997d4b63ee70032d2863930caa4;zapaska_novosibirsk;Новосибирск
w447231;9271424;Trebl 42B29C 5x13 4*98 ET29 DIA60.1 Silver Штампованный;Trebl;42B29C;40;2048.00;5;13;4;98;;29;60.1;;Штампованный;Silver;340;340;130;8000;легковые;00000025766;;;0;Серебристый;00000025766;https://lk.selectyre.ru/media/wheels/big/trebl/42b29c_56588.jpg;b39044e9a3f052e032e93d7b200335b18442a2b9;https://lk.selectyre.ru/media/wheels/big/trebl/42b29c_56588.jpg;b39044e9a3f052e032e93d7b200335b18442a2b9;zapaska_novosibirsk;Новосибирск
w447234;9138176;Trebl X40015 7x17 5*114.3 ET45 DIA60.1 Silver Штампованный;Trebl;X40015;9;4047.00;7;17;5;114.3;;45;60.1;;Штампованный;Silver;440;440;180;12000;легковые;00000017768;;;0;Серебристый;00000017768;https://lk.selectyre.ru/media/wheels/big/trebl/x40015_85930.jpg;2249951bf017b505473cc3dce4db5d7870e40f0f;https://lk.selectyre.ru/media/wheels/big/trebl/x40015_85930.jpg;2249951bf017b505473cc3dce4db5d7870e40f0f;zapaska_novosibirsk;Новосибирск
